timestamp,hourly_traffic_count
datetime,float
T,
2011-01-12 00:00:00,1199
2011-01-12 01:00:00,798
2011-01-12 02:00:00,577
2011-01-12 03:00:00,422
2011-01-12 04:00:00,312
2011-01-12 05:00:00,281
2011-01-12 06:00:00,372
2011-01-12 07:00:00,785
2011-01-12 08:00:00,1148
2011-01-12 09:00:00,1363
2011-01-12 10:00:00,1264
2011-01-12 11:00:00,1195
2011-01-12 12:00:00,1282
2011-01-12 13:00:00,1332
2011-01-12 14:00:00,1480
2011-01-12 15:00:00,1870
2011-01-12 16:00:00,2523
2011-01-12 17:00:00,2640
2011-01-12 18:00:00,2600
2011-01-12 19:00:00,2342
2011-01-12 20:00:00,1952
2011-01-12 21:00:00,1787
2011-01-12 22:00:00,1503
2011-01-12 23:00:00,1327
2011-01-13 00:00:00,1179
2011-01-13 01:00:00,928
2011-01-13 02:00:00,501
2011-01-13 03:00:00,422
2011-01-13 04:00:00,315
2011-01-13 05:00:00,389
2011-01-13 06:00:00,876
2011-01-13 07:00:00,2052
2011-01-13 08:00:00,3255
2011-01-13 09:00:00,3566
2011-01-13 10:00:00,2768
2011-01-13 11:00:00,2324
2011-01-13 12:00:00,2535
2011-01-13 13:00:00,2737
2011-01-13 14:00:00,2795
2011-01-13 15:00:00,3379
2011-01-13 16:00:00,4649
2011-01-13 17:00:00,4807
2011-01-13 18:00:00,5099
2011-01-13 19:00:00,4540
2011-01-13 20:00:00,3561
2011-01-13 21:00:00,2912
2011-01-13 22:00:00,1925
2011-01-13 23:00:00,2235
2011-01-14 00:00:00,1704
2011-01-14 01:00:00,1242
2011-01-14 02:00:00,698
2011-01-14 03:00:00,543
2011-01-14 04:00:00,418
2011-01-14 05:00:00,505
2011-01-14 06:00:00,1078
2011-01-14 07:00:00,2361
2011-01-14 08:00:00,3185
2011-01-14 09:00:00,3535
2011-01-14 10:00:00,2916
2011-01-14 11:00:00,2470
2011-01-14 12:00:00,2850
2011-01-14 13:00:00,2839
2011-01-14 14:00:00,3177
2011-01-14 15:00:00,3347
2011-01-14 16:00:00,4918
2011-01-14 17:00:00,4899
2011-01-14 18:00:00,4669
2011-01-14 19:00:00,4329
2011-01-14 20:00:00,3885
2011-01-14 21:00:00,3517
2011-01-14 22:00:00,3585
2011-01-14 23:00:00,2790
2011-01-15 00:00:00,2032
2011-01-15 01:00:00,1684
2011-01-15 02:00:00,1156
2011-01-15 03:00:00,736
2011-01-15 04:00:00,805
2011-01-15 05:00:00,718
2011-01-15 06:00:00,807
2011-01-15 07:00:00,1293
2011-01-15 08:00:00,1884
2011-01-15 09:00:00,2366
2011-01-15 10:00:00,2762
2011-01-15 11:00:00,3099
2011-01-15 12:00:00,3662
2011-01-15 13:00:00,3786
2011-01-15 14:00:00,3873
2011-01-15 15:00:00,3930
2011-01-15 16:00:00,4315
2011-01-15 17:00:00,4114
2011-01-15 18:00:00,3891
2011-01-15 19:00:00,3665
2011-01-15 20:00:00,3202
2011-01-15 21:00:00,2768
2011-01-15 22:00:00,2632
2011-01-15 23:00:00,2451
2011-01-16 00:00:00,2468
2011-01-16 01:00:00,1892
2011-01-16 02:00:00,1227
2011-01-16 03:00:00,1036
2011-01-16 04:00:00,876
2011-01-16 05:00:00,874
2011-01-16 06:00:00,679
2011-01-16 07:00:00,838
2011-01-16 08:00:00,1128
2011-01-16 09:00:00,1424
2011-01-16 10:00:00,1910
2011-01-16 11:00:00,2597
2011-01-16 12:00:00,3218
2011-01-16 13:00:00,3409
2011-01-16 14:00:00,3974
2011-01-16 15:00:00,4157
2011-01-16 16:00:00,4151
2011-01-16 17:00:00,4029
2011-01-16 18:00:00,3320
2011-01-16 19:00:00,3090
2011-01-16 20:00:00,2557
2011-01-16 21:00:00,2801
2011-01-16 22:00:00,2418
2011-01-16 23:00:00,2127
2011-01-17 00:00:00,1764
2011-01-17 01:00:00,1197
2011-01-17 02:00:00,748
2011-01-17 03:00:00,525
2011-01-17 04:00:00,446
2011-01-17 05:00:00,584
2011-01-17 06:00:00,886
2011-01-17 07:00:00,1744
2011-01-17 08:00:00,2319
2011-01-17 09:00:00,2437
2011-01-17 10:00:00,2484
2011-01-17 11:00:00,2621
2011-01-17 12:00:00,3026
2011-01-17 13:00:00,3271
2011-01-17 14:00:00,3469
