jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|sensorParams|encoders|hourly_traffic_count1:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|hourly_traffic_count2:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count1,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count1, 
1015,  3708,  completed,  eof,  2014-08-07 19:33:21,  2014-08-07 19:34:26,  65,  modelParams|sensorParams|encoders|hourly_traffic_count1:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1584,  None,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  556.171970952,  15.3748243486, 
1015,  3759,  completed,  eof,  2014-08-07 19:33:22,  2014-08-07 19:34:21,  59,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|hourly_traffic_count2:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015.modelParams|tpParams|pamLength_3,  1584,  None,  None,  None,  0.05005,  11,  14,  272,  3,  None,  275,  0.05015,  616.731295767,  17.0489270189, 
1015,  3800,  completed,  eof,  2014-08-07 19:33:23,  2014-08-07 19:34:03,  40,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1584,  None,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  534.796726341,  14.7839268413, 
1015,  3831,  completed,  eof,  2014-08-07 19:33:25,  2014-08-07 19:34:01,  36,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1584,  None,  6.25,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  473.95754672,  13.1020878615, 
1015,  3852,  completed,  eof,  2014-08-07 19:33:27,  2014-08-07 19:34:04,  37,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  1584,  1,  None,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  902.066461417,  24.9367356132, 
1015,  3864,  completed,  eof,  2014-08-07 19:33:30,  2014-08-07 19:34:06,  36,  modelParams|sensorParams|encoders|hourly_traffic_count1:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1584,  None,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  652.049856514,  18.0252737176, 
1015,  3869,  completed,  eof,  2014-08-07 19:34:02,  2014-08-07 19:34:40,  38,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|hourly_traffic_count2:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1.modelParams|tpParams|pamLength_1,  1584,  None,  None,  None,  0.0001,  9,  12,  22,  1,  None,  28,  0.1,  937.809310354,  25.9248113394, 
1015,  3870,  completed,  eof,  2014-08-07 19:34:04,  2014-08-07 19:34:40,  36,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1584,  None,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  699.301748562,  19.3315055637, 
1015,  3881,  completed,  eof,  2014-08-07 19:34:07,  2014-08-07 19:34:57,  50,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1584,  None,  0.5,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  442.294282055,  12.2267882097, 
1015,  3892,  completed,  eof,  2014-08-07 19:34:10,  2014-08-07 19:34:42,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  1584,  1,  None,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  917.236436404,  25.3560945758, 
1015,  3893,  completed,  eof,  2014-08-07 19:34:22,  2014-08-07 19:35:46,  84,  modelParams|sensorParams|encoders|hourly_traffic_count1:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1584,  None,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  556.689349132,  15.389126757, 
1015,  3895,  completed,  eof,  2014-08-07 19:34:27,  2014-08-07 19:35:46,  79,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|sensorParams|encoders|hourly_traffic_count2:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003.modelParams|tpParams|pamLength_5,  1584,  None,  None,  None,  0.1,  12,  16,  521,  5,  None,  521,  0.0003,  603.671718224,  16.6879079074, 
1015,  3898,  completed,  eof,  2014-08-07 19:34:41,  2014-08-07 19:35:46,  65,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1584,  None,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  914.614054848,  25.28360143, 
1015,  3909,  completed,  eof,  2014-08-07 19:34:43,  2014-08-07 19:35:25,  42,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1584,  None,  12.0,  None,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  490.943681889,  13.5716527771, 
1015,  3920,  completed,  eof,  2014-08-07 19:34:47,  2014-08-07 19:35:28,  41,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1584,  1,  None,  None,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  873.457611064,  24.1458722256, 
1015,  3923,  completed,  eof,  2014-08-07 19:34:58,  2014-08-07 19:35:52,  54,  modelParams|sensorParams|encoders|hourly_traffic_count1:n_147.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  1584,  None,  None,  147,  0.025075,  10,  13,  None,  2,  None,  151,  0.075075,  525.813917198,  14.5356059622, 
