jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1055,  39924,  completed,  eof,  2014-08-08 11:53:42,  2014-08-08 11:54:10,  28,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  2502,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  516.978605115,  27.5698543492, 
1055,  39975,  completed,  eof,  2014-08-08 11:53:42,  2014-08-08 11:54:03,  21,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  2502,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  419.584926774,  22.3759652794, 
1055,  40006,  completed,  eof,  2014-08-08 11:53:42,  2014-08-08 11:53:59,  17,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  2502,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  362.653202651,  19.3398641209, 
1055,  40077,  completed,  eof,  2014-08-08 11:53:42,  2014-08-08 11:54:02,  20,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  2502,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  1310.34980608,  69.8793972179, 
1055,  40138,  completed,  eof,  2014-08-08 11:53:42,  2014-08-08 11:54:00,  18,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  2502,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  1187.58244582,  63.3323598597, 
1055,  40189,  completed,  eof,  2014-08-08 11:53:42,  2014-08-08 11:54:00,  18,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  2502,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  895.391572968,  47.7501680107, 
1055,  40230,  completed,  eof,  2014-08-08 11:53:43,  2014-08-08 11:54:05,  22,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  2502,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  483.138202893,  25.7651859332, 
1055,  40261,  completed,  eof,  2014-08-08 11:53:43,  2014-08-08 11:54:00,  17,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  2502,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  1313.04333889,  70.0230401204, 
1055,  40282,  completed,  eof,  2014-08-08 11:53:43,  2014-08-08 11:54:25,  42,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  2502,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  542.265097492,  28.9183529232, 
1055,  40293,  completed,  eof,  2014-08-08 11:53:43,  2014-08-08 11:54:18,  35,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  2502,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  1130.19027224,  60.2717034791, 
1055,  40294,  completed,  eof,  2014-08-08 11:53:59,  2014-08-08 11:54:24,  25,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  2502,  None,  None,  0.1,  12,  16,  12.0,  5,  None,  521,  0.0003,  475.35954008,  25.3503590938, 
1055,  40295,  completed,  eof,  2014-08-08 11:54:00,  2014-08-08 11:54:23,  23,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  2502,  1,  None,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  1200.74889511,  64.0345109463, 
