jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1192,  150970,  completed,  eof,  2014-08-12 13:58:02,  2014-08-12 13:59:08,  66,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4808,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  17.532,  38.7979109498, 
1192,  151061,  completed,  eof,  2014-08-12 13:58:02,  2014-08-12 13:58:43,  41,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4808,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  25.483,  56.393290254, 
1192,  151142,  completed,  eof,  2014-08-12 13:58:02,  2014-08-12 13:58:35,  33,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4808,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  11.582,  25.6306984155, 
1192,  151213,  completed,  eof,  2014-08-12 13:58:03,  2014-08-12 13:58:39,  36,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4808,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  27.764,  61.441090555, 
1192,  151274,  completed,  eof,  2014-08-12 13:58:03,  2014-08-12 13:58:38,  35,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4808,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  34.9802551888,  77.4104965673, 
1192,  151325,  completed,  eof,  2014-08-12 13:58:03,  2014-08-12 13:58:36,  33,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4808,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  26.9578600119,  59.6571213861, 
1192,  151366,  completed,  eof,  2014-08-12 13:58:03,  2014-08-12 13:58:40,  37,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4808,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  11.8013192436,  26.1160468346, 
1192,  151397,  completed,  eof,  2014-08-12 13:58:04,  2014-08-12 13:58:36,  32,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4808,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  27.0658058612,  59.8960030566, 
1192,  151418,  completed,  eof,  2014-08-12 13:58:04,  2014-08-12 13:59:33,  89,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4808,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  18.527,  40.9998229618, 
1192,  151429,  completed,  eof,  2014-08-12 13:58:04,  2014-08-12 13:59:02,  58,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4808,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  32.322,  71.5278392494, 
