jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=kw_energy_consumption, 
1001,  1299,  completed,  eof,  2014-08-07 16:31:40,  2014-08-07 16:32:53,  73,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  None,  0.05005,  11,  14,  3,  None,  272,  275,  0.05015,  10.1484045352,  29.0758570423, 
1001,  1330,  completed,  eof,  2014-08-07 16:31:41,  2014-08-07 16:32:27,  46,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  None,  0.05005,  11,  14,  3,  3.5,  None,  275,  0.05015,  21.5175316071,  61.6491657129, 
1001,  1351,  completed,  eof,  2014-08-07 16:31:41,  2014-08-07 16:32:23,  42,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  6.25,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  8.61629869348,  24.6862714407, 
1001,  1362,  completed,  eof,  2014-08-07 16:31:41,  2014-08-07 16:32:24,  43,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  1,  None,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  17.0245360324,  48.7764331992, 
1001,  1363,  completed,  eof,  2014-08-07 16:32:23,  2014-08-07 16:33:08,  45,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  None,  0.0001,  9,  12,  1,  None,  22,  28,  0.1,  10.5368425724,  30.1887579717, 
1001,  1364,  completed,  eof,  2014-08-07 16:32:24,  2014-08-07 16:33:05,  41,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  None,  0.0001,  9,  12,  1,  1.0,  None,  28,  0.1,  20.4467128008,  58.5811982879, 
1001,  1365,  completed,  eof,  2014-08-07 16:32:27,  2014-08-07 16:33:13,  46,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  11.2511322621,  32.2352456569, 
1001,  1366,  completed,  eof,  2014-08-07 16:32:53,  2014-08-07 16:33:32,  39,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  1,  None,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  17.0430821425,  48.8295690438, 
1001,  1367,  completed,  eof,  2014-08-07 16:33:05,  2014-08-07 16:34:48,  103,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|kw_energy_consumption:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  None,  None,  0.1,  12,  16,  5,  None,  521,  521,  0.0003,  10.2342385929,  29.3217773525, 
1001,  1368,  completed,  eof,  2014-08-07 16:33:08,  2014-08-07 16:34:17,  69,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  None,  None,  0.1,  12,  16,  5,  6.0,  None,  521,  0.0003,  21.3803817192,  61.2562221205, 
